COMUNE;TITOLARE;DITTA;INDIRIZZO;N. CIVICO;ZONA;AREA QSV;SUP.ALIM.;SUP.NON ALIM.;SUP.TOTALE DI VENDITA;QUOTIDIANI E PERIODICI;MERCEOLOGIA (MGSV);IN AFFITTO (MGSV);CENTRO COMMERCIALE;POLO COMMERCIALE;CODICE ATECO
CITTA' DELLA PIEVE;RICAMBI AUTOMOTO S.R.L.;4-s.r.l.;CARDETE (LOCALITA');SNC;3-resto del territorio;0.0;25.0;25.0;45.11.01;;;;;;
CITTA' DELLA PIEVE;ROSATINI CATIA;1-Individuale;GARIBALDI (VIA);94;1-centro storico;1.0;0.0;28.0;28.0;47.51.20;;;;;
CITTA' DELLA PIEVE;ROSI MARCO;1-Individuale;GARIBALDI (VIA);81;1-centro storico;1.0;0.0;18.0;18.0;47.22.00;;;;;
CITTA' DELLA PIEVE;ROSSI CINZIA;1-Individuale;P.VANNUCCI (VIA);39;1-centro storico;1.0;0.0;5.0;5.0;47.75.10;;;;;
CITTA' DELLA PIEVE;ROSSI CINZIA;1-Individuale;P.VANNUCCI (VIA);64;1-centro storico;1.0;0.0;15.0;15.0;47.78.36;;;;;
CITTA' DELLA PIEVE;ROSSI FRANCESCO;1-Individuale;P.VANNUCCI (VIA);48;1-centro storico;1.0;0.0;33.0;33.0;47.51.10;;;;;
CITTA' DELLA PIEVE;ROSSI ROBERTO;1-Individuale;A.CECCHETTI (VIA);9.0;3-resto del territorio;0.0;35.0;35.0;47.54.00;;;;;;
CITTA' DELLA PIEVE;RUBECA FRANCESCA;1-Individuale;P.VANNUCCI (VIA);88;1-centro storico;1.0;0.0;105.0;105.0;47.71.10;;;;;
CITTA' DELLA PIEVE;RUBECA MOTORI S.R.L.;4-s.r.l.;MARANZANO (STRADA PROVINCIALE);4/A;3-resto del territorio;0.0;574.0;574.0;08-Auto-moto-cicli;1.0;45.11.01;;;;
CITTA' DELLA PIEVE;SACAR S.R.L.;4-s.r.l.;MOLISE (VIA);SNC;3-resto del territorio;0.0;145.0;145.0;45.11.01;;;;;;
CITTA' DELLA PIEVE;SCARGIALI ROMEO;1-Individuale;CORLEONE (VIA);6;1-centro storico;1.0;0.0;104.0;104.0;47.52.30;;;;;
CITTA' DELLA PIEVE;SCARPANTI LUIGI;1-Individuale;P.VANNUCCI (VIA);146;1-centro storico;1.0;0.0;8.0;8.0;47.51.10;;;;;
CITTA' DELLA PIEVE;SCRICCIOLO ANDREA;1-Individuale;P.VANNUCCI (VIA);124;1-centro storico;1.0;0.0;31.0;31.0;47.72.10;;;;;
CITTA' DELLA PIEVE;SCUCCHI ARMANDO;1-Individuale;PLEBISCITO (PIAZZA);20;1-centro storico;1.0;0.0;73.0;73.0;47.59.20;;;;;
CITTA' DELLA PIEVE;SELVA CARLO;1-Individuale;SANTA LUCIA (VIA) FRAZ. MOIANO;12.0;3-resto del territorio;0.0;50.0;50.0;47.78.40;;;;;;
CITTA' DELLA PIEVE;SER.IND S.R.L.;4-s.r.l.;LA TROVA (VIA);2;2-resto del capoluogo;0.0;70.0;70.0;47.78.99;;;;;;
CITTA' DELLA PIEVE;SEVERON S.N.C.;2-s.n.c.;P.VANNUCCI (VIA);122;1-centro storico;1.0;0.0;32.0;32.0;47.71.10;;;;;
CITTA' DELLA PIEVE;SEVERON S.N.C.;2-s.n.c.;P.VANNUCCI (VIA);113;1-centro storico;1.0;0.0;150.0;150.0;47.71.10;;;;;
CITTA' DELLA PIEVE;SEVERON S.N.C.;2-s.n.c.;P.VANNUCCI (VIA);121;1-centro storico;1.0;0.0;140.0;140.0;47.71.10;;;;;
CITTA' DELLA PIEVE;SI.G.MA. S.R.L.;4-s.r.l.;V.VENETO (VIA);1;1-centro storico;1.0;7.0;8.0;15.0;47.29.90;;;;;
CITTA' DELLA PIEVE;SOCCIARELLO LUCIANO;1-Individuale;S.S. 71 (VIA);KM. 84;3-resto del territorio;0.0;82.0;82.0;45.20.10;;;;;;
CITTA' DELLA PIEVE;SONNATI EMANUELA;1-Individuale;PLEBISCITO (PIAZZA);5.0;1-centro storico;1.0;0.0;16.0;16.0;47.78.34;;;;;
CITTA' DELLA PIEVE;SPAZIO SOLE S.N.C.;2-s.n.c.;ABRUZZO (VIA);SNC;3-resto del territorio;10.0;5.0;15.0;47.29.30;;;;;;
CITTA' DELLA PIEVE;STEFANUCCI DAVID MARIA;1-Individuale;S.S. 71 (VIA);36;2-resto del capoluogo;0.0;52.0;52.0;47.76.10;;;;;;
CITTA' DELLA PIEVE;STELLINI ALESSANDRO;1-Individuale;SAN LITARDO (LOCALITA');25/27;3-resto del territorio;0.0;5.0;5.0;47.78.34;;;;;;
CITTA' DELLA PIEVE;STOICO MATTEO;1-Individuale;VITTORIA (LARGO DELLA);2;1-centro storico;1.0;0.0;12.0;12.0;1.0;47.62.10;;;;
CITTA' DELLA PIEVE;TARDIOLO MOIRA;1-Individuale;LAJOLO (VIA);SNC;3-resto del territorio;0.0;70.0;70.0;47.76.10;;;;;;
CITTA' DELLA PIEVE;TASSINI VELIA;1-Individuale;P.VANNUCCI (VIA);133;1-centro storico;1.0;0.0;56.0;56.0;47.52.10;;;;;
CITTA' DELLA PIEVE;TECNOSOLE S.R.L.;4-s.r.l.;CARDETE (LOCALITA');10-dic;3-resto del territorio;0.0;100.0;100.0;47.78.40;;;;;;
CITTA' DELLA PIEVE;TERZINO CRISTIANO;1-Individuale;P.VANNUCCI (VIA);43;1-centro storico;1.0;0.0;51.0;51.0;47.78.20;;;;;
CITTA' DELLA PIEVE;TESTA FURIO;1-Individuale;FORNO (VIA DEL);SNC;3-resto del territorio;21.0;0.0;21.0;47.29.90;;;;;;
CITTA' DELLA PIEVE;TIBERI ORNELLA;1-Individuale;B.SACCO (VIA);01-mar;3-resto del territorio;0.0;12.0;12.0;47.78.20;;;;;;
CITTA' DELLA PIEVE;TIMITILLI PAOLA;1-Individuale;GARIBALDI (VIA);106;1-centro storico;1.0;0.0;31.0;31.0;47.26.00;;;;;
CITTA' DELLA PIEVE;TORRONI ALBERTA;1-Individuale;MONSIGNOR ANGELUCCI (VIA);24;3-resto del territorio;0.0;4.0;4.0;47.78.36;;;;;;
CITTA' DELLA PIEVE;TOTALFINA ELF ITALIA S.P.A.;5-s.p.a.;S.S. 71 (VIA);SNC;3-resto del territorio;0.0;3.0;3.0;1.0;;;;;;
CITTA' DELLA PIEVE;TUSCANIA S.R.L.;4-s.r.l.;ABRUZZO (VIA);2;3-resto del territorio;600.0;600.0;1200.0;01-Alimentare;1.0;47.11.20;;;;
CITTA' DELLA PIEVE;UNO MAGIC FUN S.R.L.;4-s.r.l.;F.PARRI (VIA);17;3-resto del territorio;0.0;183.0;183.0;45.77.00;;;;;;
CITTA' DELLA PIEVE;VALLETTI MARIO;1-Individuale;ROMA (VIA);8;1-centro storico;1.0;0.0;65.0;65.0;47.76.10;;;;;
CITTA' DELLA PIEVE;VERTECCHI ELENA;1-Individuale;G.DI VITTORIO (VIA);36;3-resto del territorio;44.0;0.0;44.0;47.11.40;;;;;;
CITTA' DELLA PIEVE;VOLUDIA INFORMATICA S.R.L.;4-s.r.l.;SANTA LUCIA (VIA);36;2-resto del capoluogo;0.0;41.0;41.0;47.41.00;;;;;;
CITTA' DI CASTELLO;16 PG S.R.L. DI TORNESI ORLANDO;4-s.r.l.;ALBIZZINI (VIA);28.0;1-centro storico;1.0;0.0;25.0;25.0;;;;;;
CITTA' DI CASTELLO;3R MOBILI SNC;2-s.n.c.;BECCARI GIUSEPPE(VIA)-REGNANO;2/A;2-resto del capoluogo;0.0;239.0;239.0;;;;;;;
CITTA' DI CASTELLO;A.AGENZIA FUNEBRE SAN FLORIDO DI MIGLIORATI BRUNO & C. 3;3-s.a.s.;PORTA SAN FLORIDO (PIAZZA);10.0;2-resto del capoluogo;1.0;0.0;36.0;36.0;;;;;;
CITTA' DI CASTELLO;ABBIGLIAMENTO LUCARINI S.N.C.-MILLI;2-s.n.c.;VITTORIO EMANUELE II (CORSO);30.0;1-centro storico;1.0;0.0;90.0;90.0;;;;;;
CITTA' DI CASTELLO;ACES S.R.L.;4-s.r.l.;PIER DELLA FRANCESCA (VIA);36.0;2-resto del capoluogo;0.0;475.0;475.0;02-Abbigliamento;;;;;;
CITTA' DI CASTELLO;ACES S.R.L.;4-s.r.l.;VITTORIO EMANUELE II (CORSO);7/B;1-centro storico;1.0;0.0;60.0;60.0;;;;;;
CITTA' DI CASTELLO;ACES S.R.L.;4-s.r.l.;VITTORIO EMANUELE II (CORSO);2.0;1-centro storico;1.0;0.0;126.0;126.0;;;;;;
CITTA' DI CASTELLO;ACES S.R.L.;4-s.r.l.;VITTORIO EMANUELE II (CORSO);7.0;1-centro storico;1.0;0.0;115.0;115.0;;;;;;
CITTA' DI CASTELLO;AGENZIA FUNEBRE TIFERNATE;3-s.a.s.;GUELFUCCI (VIA);3.0;1-centro storico;1.0;0.0;48.0;48.0;;;;;;
CITTA' DI CASTELLO;AGOSTINELLI CHRISTIAN;1-Individuale;GRANDI ACHILLE (VIA);2-resto del capoluogo;0.0;260.0;260.0;08-Auto-moto-cicli;;;;;;;
CITTA' DI CASTELLO;AGOSTINI FRANCA;1-Individuale;XI SETTEMBRE (VIA);25.0;1-centro storico;1.0;16.0;0.0;16.0;;;;;;
CITTA' DI CASTELLO;AGOSTINI MARCO;1-Individuale;BOLOGNI ALDO (VIALE);40/A;2-resto del capoluogo;0.0;40.0;40.0;;;;;;;
CITTA' DI CASTELLO;AGRICOLA 2006 S.R.L.;4-s.r.l.;PARINI GIUSEPPE(V.LE)-TRESTINA;9/D;3-resto del territorio;0.0;140.0;140.0;;;;;;;
CITTA' DI CASTELLO;AGRICOLA 2006 S.R.L.;4-s.r.l.;PORTA SAN FLORIDO (PIAZZA);1.0;2-resto del capoluogo;1.0;0.0;40.0;40.0;;;;;;
CITTA' DI CASTELLO;AGRISISTEM S.R.L.;4-s.r.l.;PAZZAGLIA MERLINO(VIA)-CERBARA;5/A;2-resto del capoluogo;0.0;200.0;200.0;;;;;;;
CITTA' DI CASTELLO;ALARIO VINCENZO;1-Individuale;POLACCHINO (VIALE DEL);42.0;2-resto del capoluogo;0.0;27.0;27.0;;;;;;;
CITTA' DI CASTELLO;ALBIZZINI CINZIA;1-Individuale;COLLODI CARLO (VIA);2-resto del capoluogo;0.0;53.0;53.0;;;;;;;;
CITTA' DI CASTELLO;ALIMARKET 2-BACCI;2-s.n.c.;RIGUCCI GIOVAN BATTISTA (VIA);8.0;2-resto del capoluogo;36.0;6.0;42.0;;;;;;;
CITTA' DI CASTELLO;ALIMENTARI CASELLI SAS;3-s.a.s.;SANT'ANSANO (VIA)-PIOSINA;26.0;3-resto del territorio;63.0;18.0;81.0;;;;;;;
CITTA' DI CASTELLO;ALIMENTARI F.LLI TASSI SNC;2-s.n.c.;PIER DELLA FRANCESCA (VIA);10.0;2-resto del capoluogo;53.0;6.0;59.0;;;;;;;
CITTA' DI CASTELLO;ALIMENTARI VESCHI S.A.S.;3-s.a.s.;CORTONESE (VIA);6.0;2-resto del capoluogo;40.0;8.0;48.0;;;;;;;
CITTA' DI CASTELLO;ALTOTEVERE CARNI S.N.C.-BUCCI;2-s.n.c.;VASCHI (VIA DEI);6.0;2-resto del capoluogo;40.0;0.0;40.0;;;;;;;
CITTA' DI CASTELLO;ALUIGI TAMARA;1-Individuale;FANTI MANFREDO (PIAZZA);3/D;1-centro storico;1.0;0.0;111.0;111.0;;;;;;
CITTA' DI CASTELLO;ALUIGI WILELMO S.N.C.;2-s.n.c.;CAVOUR (CORSO);2.0;1-centro storico;1.0;0.0;251.0;251.0;02-Abbigliamento;;;;;
CITTA' DI CASTELLO;ALUNNI GRAZIANO;1-Individuale;FERMI ENRICO (VIA)-SAN SECONDO;43/C;3-resto del territorio;0.0;40.0;40.0;;;;;;;
CITTA' DI CASTELLO;ALUNNI LUCA;1-Individuale;LIVIERO CARLO (VIA);2-resto del capoluogo;0.0;12.0;12.0;1.0;;;;;;;
CITTA' DI CASTELLO;ALUNNO TIZIANA;1-Individuale;LAMBRUSCHINI (VIA)-TRESTINA;14/A;3-resto del territorio;10.0;0.0;10.0;;;;;;;
CITTA' DI CASTELLO;AMADEI LUIGI;1-Individuale;ALBIZZINI (VIA);21.0;1-centro storico;1.0;0.0;94.0;94.0;;;;;;
CITTA' DI CASTELLO;ANANIA VALERIO;1-Individuale;LAMBRUSCHINI (VIA)-TRESTINA;2/A;3-resto del territorio;0.0;70.0;70.0;;;;;;;
CITTA' DI CASTELLO;ANDREA & GIOVANNI BENVENUTI S.N.C.;2-s.n.c.;EUROPA (VIALE);0.0;2-resto del capoluogo;0.0;48.0;48.0;;;;;;;
CITTA' DI CASTELLO;ANNA CLUB DI FANCELLI ANNA & C. S.N;2-s.n.c.;PIER DELLA FRANCESCA (VIA);15/B;2-resto del capoluogo;0.0;22.0;22.0;;;;;;;
CITTA' DI CASTELLO;ANNESE ELEONORA;1-Individuale;MARCONI GUGLIELMO (VIA);1.0;1-centro storico;1.0;0.0;20.0;20.0;;;;;;
CITTA' DI CASTELLO;ANTICA ARMERIA VITALI 1941 S.N.C.;2-s.n.c.;MORANDI RODOLFO (VIA);40.0;2-resto del capoluogo;0.0;252.0;252.0;10-Altri generi;;;;;;
CITTA' DI CASTELLO;ANTICA PASTICCERIA TIFERNATE S.R.L.;4-s.r.l.;KANT EMANUELE(VIA)-CERBARA;34/E;2-resto del capoluogo;54.0;0.0;54.0;;;;;;;
CITTA' DI CASTELLO;ANTIGUA ARREDAMENTI SRL;4-s.r.l.;I MAGGIO (VIA)-TRESTINA;3-resto del territorio;0.0;80.0;80.0;;;;;;;;
CITTA' DI CASTELLO;APICELLA ANDREA;1-Individuale;FERRER FRANCESCO (VIA);23.0;2-resto del capoluogo;0.0;75.0;75.0;;;;;;;
CITTA' DI CASTELLO;ARCALENI SARA;1-Individuale;PIER DELLA FRANCESCA (VIA);6/G;2-resto del capoluogo;0.0;28.0;28.0;1.0;;;;;;
CITTA' DI CASTELLO;AREM S.N.C.-RENZINI;2-s.n.c.;COLLODI CARLO (VIA);2-resto del capoluogo;0.0;104.0;104.0;;;;;;;;
CITTA' DI CASTELLO;AREM S.N.C.-RENZINI;2-s.n.c.;GRANDI ACHILLE (VIA);10/C;2-resto del capoluogo;0.0;103.0;103.0;;;;;;;
CITTA' DI CASTELLO;ARKOBALENO S.R.L.;4-s.r.l.;BITURGENZE (VIA)-CERBARA;2-resto del capoluogo;0.0;25.0;25.0;1.0;;;;;;;
CITTA' DI CASTELLO;ARMATI CAROLINA;1-Individuale;VOLTERRANO (LOC);3-resto del territorio;28.0;2.0;30.0;;;;;;;;
CITTA' DI CASTELLO;ARTISTICA ROSSI S.R.L.;4-s.r.l.;MORANDI RODOLFO (VIA);48.0;2-resto del capoluogo;0.0;155.0;155.0;;;;;;;
CITTA' DI CASTELLO;ATTALA ANDREA;1-Individuale;MAZZINI GIUSEPPE (VIA);4/C;1-centro storico;1.0;0.0;45.0;45.0;;;;;;
CITTA' DI CASTELLO;AUTOCAR DI MARINELLI S.R.L.;4-s.r.l.;SOREL GEORGES (VIA);24.0;2-resto del capoluogo;0.0;805.0;805.0;08-Auto-moto-cicli;;;;;;
CITTA' DI CASTELLO;AUTOFFICINA ZANGARELLI S.A.S.;3-s.a.s.;PARINI GIUSEPPE(V.LE)-TRESTINA;110.0;3-resto del territorio;0.0;110.0;110.0;;;;;;;
CITTA' DI CASTELLO;AZIENDA AGRARIA CHIODI S.A.S.;3-s.a.s.;SAN LEO BASTIA (LOC);17.0;3-resto del territorio;23.0;0.0;23.0;;;;;;;
CITTA' DI CASTELLO;B & C SNC  DEI FRATELLI CASTELLANI;2-s.n.c.;FERMI ENRICO (VIA)-SAN SECONDO;47.0;3-resto del territorio;105.0;40.0;145.0;1.0;;;;;;
CITTA' DI CASTELLO;B. & C. SNC DI BIRETTONI M.& CATERB;2-s.n.c.;ROMAGNA (VIALE);71.0;2-resto del capoluogo;0.0;70.0;70.0;1.0;;;;;;
CITTA' DI CASTELLO;BACCARINI GUIDO;1-Individuale;PARINI GIUSEPPE(V.LE)-TRESTINA;39.0;3-resto del territorio;0.0;140.0;140.0;;;;;;;
CITTA' DI CASTELLO;BACCARINISNC DI BACCARINI ENZO & C;2-s.n.c.;ROMANA (VIA)-PROMANO;55.0;3-resto del territorio;0.0;15.0;15.0;;;;;;;
CITTA' DI CASTELLO;BACCHETTA ANGELA;1-Individuale;ANGELONI MARIO (VIA);7/F;1-centro storico;1.0;0.0;70.0;70.0;;;;;;
CITTA' DI CASTELLO;BADINI FABRIZIO;1-Individuale;BOLOGNI ALDO (VIALE);38/B;2-resto del capoluogo;0.0;32.0;32.0;;;;;;;
CITTA' DI CASTELLO;BALDICCHI ENNIO;1-Individuale;BECCARI GIUSEPPE(VIA)-REGNANO;5.0;2-resto del capoluogo;0.0;100.0;100.0;;;;;;;
CITTA' DI CASTELLO;BALDINELLI & LENSI S.N.C.;2-s.n.c.;VITTORIO EMANUELE II (CORSO);21/A;1-centro storico;1.0;0.0;60.0;60.0;;;;;;
CITTA' DI CASTELLO;BALDINELLI SONIA;1-Individuale;PIEVE DELLE ROSE (VIA);55.0;2-resto del capoluogo;0.0;160.0;160.0;;;;;;;
CITTA' DI CASTELLO;BALDUCCI SNC DI BALDUCCI ANGELO & C;2-s.n.c.;DONINI DONINO(VIA)-CINQUEMIGLI;58.0;3-resto del territorio;0.0;180.0;180.0;;;;;;;
CITTA' DI CASTELLO;BAMBINI ELIO;1-Individuale;TOGLIATTI PALMIRO (VIA);2/B;2-resto del capoluogo;0.0;100.0;100.0;C.C. BELVEDERE;;;;;;
CITTA' DI CASTELLO;BANI FRANCESCO;1-Individuale;MAZZINI GIUSEPPE (VIA);3/D;1-centro storico;1.0;0.0;30.0;30.0;;;;;;
CITTA' DI CASTELLO;BAR 3 BIS SRL;4-s.r.l.;VITTORIO VENETO (VIALE);20.0;2-resto del capoluogo;0.0;10.0;10.0;1.0;;;;;;
CITTA' DI CASTELLO;BAR BORIOSI-CUZZOLIN LUCA & C. S.A.;3-s.a.s.;SOREL GEORGES (VIA);2.0;2-resto del capoluogo;0.0;15.0;15.0;;;;;;;
CITTA' DI CASTELLO;BAR CASTELLO-CAPANNI S.N.C.;2-s.n.c.;PIER DELLA FRANCESCA (VIA);23.0;2-resto del capoluogo;20.0;0.0;20.0;C.C. CASTELLO;;;;;;
CITTA' DI CASTELLO;BAR CENTRALE S.N.C.-BENDINI;2-s.n.c.;VITTORIO EMANUELE II (CORSO);1/A;1-centro storico;1.0;10.0;0.0;10.0;;;;;;
CITTA' DI CASTELLO;BAR DIDON S.N.C. DI CECCONI V7ER;2-s.n.c.;ROMA (VIA);5/A;2-resto del capoluogo;5.0;15.0;20.0;1.0;;;;;;
CITTA' DI CASTELLO;BAR DUOMO SNC-FARRAKHOVA;2-s.n.c.;GABRIOTTI VENANZIO (PIAZZA);12.0;1-centro storico;1.0;0.0;8.0;8.0;;;;;;
CITTA' DI CASTELLO;BAR ELISA DI BERLIOCCHI ALESSANDRO;1-Individuale;G.FALCONE (VIA);5.0;2-resto del capoluogo;0.0;4.0;4.0;1.0;;;;;;
CITTA' DI CASTELLO;BAR FUTURA DI CRULLI E.P.& C. SNC;2-s.n.c.;RIGUCCI GIOVAN BATTISTA (VIA);21/A;2-resto del capoluogo;0.0;40.0;40.0;;;;;;;
CITTA' DI CASTELLO;BAR RISTORANTE LA COLLINA-POLIDORI;2-s.n.c.;ADRIATICA (VIA)-FRACCANO;1/A;3-resto del territorio;15.0;5.0;20.0;;;;;;;
CITTA' DI CASTELLO;BARAONDA S.N.C. -GNONI;2-s.n.c.;TRENTO (VIA)-FABRECCE;5.0;3-resto del territorio;0.0;10.0;10.0;1.0;;;;;;
CITTA' DI CASTELLO;BARTOCCINI 2000 S.R.L.;4-s.r.l.;PIER DELLA FRANCESCA (VIA);23.0;2-resto del capoluogo;0.0;105.0;105.0;C.C. CASTELLO;;;;;;
CITTA' DI CASTELLO;BARTOLINI 1808 S.R.L.;4-s.r.l.;PIER DELLA FRANCESCA (VIA);23.0;2-resto del capoluogo;0.0;70.0;70.0;C.C. CASTELLO;;;;;;
CITTA' DI CASTELLO;BARTOLINI MATTEO;1-Individuale;ROMAGNA (VIALE);20.0;2-resto del capoluogo;0.0;10.0;10.0;;;;;;;
CITTA' DI CASTELLO;BARTOLUCCI ANTONELLA;1-Individuale;VITTORIO EMANUELE II (CORSO);17/B;1-centro storico;1.0;0.0;30.0;30.0;;;;;;
CITTA' DI CASTELLO;BARTOLUCCI CLARA;1-Individuale;PARINI GIUSEPPE(V.LE)-TRESTINA;40.0;3-resto del territorio;22.0;0.0;22.0;;;;;;;
CITTA' DI CASTELLO;BARTOLUCCI MARCO;1-Individuale;NOVE MARTIRI(VIA)-BADIA PETROI;15.0;3-resto del territorio;35.0;0.0;35.0;;;;;;;
CITTA' DI CASTELLO;BARTOLUCCI MARCO;1-Individuale;NOVE MARTIRI(VIA)-BADIA PETROI;15.0;3-resto del territorio;10.0;30.0;40.0;;;;;;;
CITTA' DI CASTELLO;BARULLI LAURA;1-Individuale;PARINI GIUSEPPE(V.LE)-TRESTINA;74.0;3-resto del territorio;0.0;85.0;85.0;;;;;;;
CITTA' DI CASTELLO;BARUMBA' DI MAGLIULO A. & MOTTOLA G;2-s.n.c.;GARIBALDI GIUSEPPE (PIAZZA);8.0;1-centro storico;1.0;10.0;0.0;10.0;;;;;;
CITTA' DI CASTELLO;BASSINI FRANCESCO;1-Individuale;PARINI GIUSEPPE(V.LE)-TRESTINA;18.0;3-resto del territorio;0.0;12.0;12.0;;;;;;;
CITTA' DI CASTELLO;BASSINI PELLETTERIE-BASSINI;2-s.n.c.;VITTORIO EMANUELE II (CORSO);40.0;1-centro storico;1.0;0.0;131.0;131.0;;;;;;
CITTA' DI CASTELLO;BAZAAR S.R.L.;4-s.r.l.;ETRURIA (VIA)-TRESTINA;27.0;3-resto del territorio;0.0;160.0;160.0;;;;;;;
CITTA' DI CASTELLO;BAZAAR S.R.L.;4-s.r.l.;ETRURIA (VIA)-TRESTINA;3-resto del territorio;0.0;207.0;207.0;;;;;;;;
CITTA' DI CASTELLO;BAZAR 2000 S.R.L.;4-s.r.l.;COLLODI CARLO (VIA);1/D;2-resto del capoluogo;0.0;110.0;110.0;;;;;;;
CITTA' DI CASTELLO;BAZAR TUTTO CASA S.R.L.;4-s.r.l.;GRANDI ACHILLE (VIA);10/A;2-resto del capoluogo;0.0;130.0;130.0;;;;;;;
CITTA' DI CASTELLO;BEACCI CHIARA;1-Individuale;PARINI GIUSEPPE(V.LE)-TRESTINA;1/A;3-resto del territorio;0.0;20.0;20.0;;;;;;;
CITTA' DI CASTELLO;BEAUTY AND FASHION S.R.L.;4-s.r.l.;MATTEOTTI GIACOMO (PIAZZA);2/A;1-centro storico;1.0;0.0;45.0;45.0;;;;;;
CITTA' DI CASTELLO;BELLETTI AMBRA;1-Individuale;MADONNA D.COMBARBIO(VIA)-BADIA;16/A;3-resto del territorio;30.0;0.0;30.0;;;;;;;
CITTA' DI CASTELLO;BELLINI GIANLUCA;1-Individuale;PARINI GIUSEPPE(V.LE)-TRESTINA;60/B;3-resto del territorio;0.0;20.0;20.0;1.0;;;;;;
CITTA' DI CASTELLO;BENCI VALERIA;1-Individuale;LUCA DELLA ROBBIA (VIA);13.0;2-resto del capoluogo;0.0;1.0;1.0;;;;;;;
CITTA' DI CASTELLO;BENDINI SERGIO;1-Individuale;FANTI MANFREDO (PIAZZA);8.0;1-centro storico;1.0;32.0;0.0;32.0;;;;;;
CITTA' DI CASTELLO;BENEDETTI SNC;2-s.n.c.;SANTA MARIA MAGGIORE (PIAZZA);4.0;1-centro storico;1.0;5.0;0.0;5.0;;;;;;
CITTA' DI CASTELLO;BENNI FLAVIO;1-Individuale;VITTORIO EMANUELE II (CORSO);10.0;1-centro storico;1.0;0.0;25.0;25.0;;;;;;
CITTA' DI CASTELLO;BENNI ROSSANA;1-Individuale;VITTORIO EMANUELE II (CORSO);44/A;1-centro storico;1.0;0.0;25.0;25.0;;;;;;
CITTA' DI CASTELLO;BERLIOCCHI ASSUNTINA;1-Individuale;BUOZZI BRUNO (VIA);1.0;2-resto del capoluogo;0.0;14.0;14.0;;;;;;;
CITTA' DI CASTELLO;BERNARDINI AUTO S.R.L.;4-s.r.l.;ARTIGIANATO (VIA DELL')-CINQUE;41/B;3-resto del territorio;0.0;236.0;236.0;;;;;;;
CITTA' DI CASTELLO;BERNICCHI ANNA;1-Individuale;ROMA (VIA);1/A;2-resto del capoluogo;80.0;0.0;80.0;;;;;;;
CITTA' DI CASTELLO;BERTI FEDERICO;1-Individuale;PARINI GIUSEPPE(V.LE)-TRESTINA;68.0;3-resto del territorio;10.0;0.0;10.0;;;;;;;
CITTA' DI CASTELLO;BETTARELLI DAVID;1-Individuale;DELL'INDUSTRIA-CORNETTO;1/B;3-resto del territorio;10.0;149.0;159.0;;;;;;;
CITTA' DI CASTELLO;BETTARELLI MARIA ASSUNTA;1-Individuale;SAN CRESCENZIANO (VIA)-MORRA;16.0;3-resto del territorio;19.0;6.0;25.0;;;;;;;
CITTA' DI CASTELLO;BETTI & C. SAS DI BETTI ROBERTO;3-s.a.s.;RIGUCCI GIOVAN BATTISTA (VIA);19/A;2-resto del capoluogo;40.0;0.0;40.0;;;;;;;
CITTA' DI CASTELLO;BIAGIONI ERSILIA;1-Individuale;MATTEOTTI GIACOMO (PIAZZA);1-centro storico;1.0;0.0;12.0;12.0;1.0;;;;;;
CITTA' DI CASTELLO;BIANCONI DARIO;1-Individuale;GALVANI LUIGI(VIA)-SAN SECONDO;17.0;3-resto del territorio;0.0;54.0;54.0;;;;;;;
CITTA' DI CASTELLO;BIANCONI GIULIO;1-Individuale;GARIBALDI GIUSEPPE (PIAZZA);2.0;1-centro storico;1.0;0.0;12.0;12.0;1.0;;;;;
CITTA' DI CASTELLO;BIANCONI VENANZIO;1-Individuale;BOLOGNI ALDO (VIALE);82/A p;2-resto del capoluogo;0.0;20.0;20.0;;;;;;;
CITTA' DI CASTELLO;BIGOTTI & RICCARDINI S.N.C.;2-s.n.c.;MARTIRI DELLA LIBERTA' (VIA);6.0;2-resto del capoluogo;60.0;0.0;60.0;;;;;;;
CITTA' DI CASTELLO;BIKE LAND S.N.C.-CARDELLINI-DONATI;2-s.n.c.;FERRER FRANCESCO (VIA);25/E;2-resto del capoluogo;0.0;47.0;47.0;;;;;;;
CITTA' DI CASTELLO;BINI GIORGIO;1-Individuale;GRANDI ACHILLE (VIA);2-resto del capoluogo;0.0;50.0;50.0;;;;;;;;
CITTA' DI CASTELLO;BIO ESTETICA-MARIANNELLI-SENESI SNC;2-s.n.c.;MONCENISIO (VIA);28.0;2-resto del capoluogo;0.0;8.0;8.0;;;;;;;
CITTA' DI CASTELLO;BIRETTONI FABRIZIO;1-Individuale;VITTORIO EMANUELE II (CORSO);5.0;1-centro storico;1.0;0.0;35.0;35.0;;;;;;
CITTA' DI CASTELLO;BISANTINI S.R.L.;4-s.r.l.;CAVOUR (CORSO);8/D;1-centro storico;1.0;0.0;60.0;60.0;;;;;;
CITTA' DI CASTELLO;BISANTINI S.R.L.;4-s.r.l.;RIOSECCO (LOC);2-resto del capoluogo;0.0;350.0;350.0;02-Abbigliamento;1.0;;;;;;
CITTA' DI CASTELLO;BISAR S.R.L.;4-s.r.l.;BUOZZI BRUNO (VIA);22/A;2-resto del capoluogo;0.0;130.0;130.0;;;;;;;
CITTA' DI CASTELLO;BLOG BAR CAFE' S.N.C.;2-s.n.c.;ROMAGNA (VIALE);31/C;2-resto del capoluogo;2.0;0.0;2.0;;;;;;;
